,no_strokes_st,no_strokes_dy,speed_st,speed_dy,magnitude_vel_st,magnitude_horz_vel_st,magnitude_vert_vel_st,magnitude_vel_dy,magnitude_horz_vel_dy,magnitude_vert_vel_dy,magnitude_acc_st,magnitude_horz_acc_st,magnitude_vert_acc_st,magnitude_acc_dy,magnitude_horz_acc_dy,magnitude_vert_acc_dy,magnitude_jerk_st,magnitude_horz_jerk_st,magnitude_vert_jerk_st,magnitude_jerk_dy,magnitude_horz_jerk_dy,magnitude_vert_jerk_dy,ncv_st,ncv_dy,nca_st,nca_dy,in_air_stcp,on_surface_st,on_surface_dy,target
10,2.0,2.0,0.0011293877479004748,0.001085469656434495,0.1663972357061749,0.11472536015264649,0.09704766054091389,0.18146025349547673,0.12392389607579478,0.10726418447937433,0.0004444983228592609,0.00031715794419549765,0.00024287265393412667,0.0004887873137933843,0.00031797359374544093,0.00030447971316626473,5.128824210870466e-06,3.965674374330922e-06,2.4927166803410165e-06,5.535180681082986e-06,3.4699435783875696e-06,3.4448746333307304e-06,155.8,229.66666666666666,82.0,34.5,154.0,813.0,755.0,1.0
11,22.0,26.0,0.0017211539728099507,0.0013624824881959506,0.08779579045277673,0.05476122893097062,0.057353716394306795,0.09671176127516806,0.06083285135916714,0.06235460445986761,0.0005892852425182805,0.0003452783577243999,0.0004083739786450953,0.0007368467020406933,0.00045013099919186735,0.0004899564378560559,1.1206050131744709e-05,6.531875507410573e-06,7.946956317337375e-06,1.3988878619914502e-05,8.268218285550067e-06,9.66455217945497e-06,370.0,262.8,258.0,87.5,391.0,1750.0,1304.0,1.0
12,0.0,0.0,0.00258953269027224,0.002626132118214319,0.07545402822960959,0.05035093112016188,0.04487691795384103,0.09069889051146743,0.058939772673678247,0.054841296043012785,0.00019440736446777067,0.00013022889641576117,0.0001049630805086617,0.0002092581526683351,0.00014015011224151292,0.0001184383253108179,3.229711374001221e-06,2.2291553223219374e-06,1.7825984721096267e-06,3.221322546049093e-06,2.1263278920590516e-06,1.955984545667649e-06,323.3333333333333,261.57142857142856,125.0,99.0,1277.0,0.0,0.0,1.0
13,2.0,8.0,0.0022502977316205,0.002158886569648177,0.05915823965907698,0.03865389104359693,0.03665322966793554,0.04220884902165853,0.02733325018271255,0.025533681107157813,0.00026368864735087867,0.00016572872797159592,0.00016618440158877555,0.0002122205349991319,0.0001311180959017594,0.00013034456284921188,4.607165666984385e-06,2.983132264030503e-06,2.921055081308837e-06,3.7946034736813087e-06,2.272771810618935e-06,2.510381581520846e-06,325.57142857142856,320.2857142857143,185.0,475.0,1652.0,2070.0,5146.0,1.0
14,2.0,2.0,0.007385085020228391,0.008311749999379768,0.0675159981540506,0.04413106673168593,0.04186824527381803,0.11390114844635302,0.07441442594281023,0.07131606869598135,0.00021562459123198723,0.00012875314108867677,0.0001352448609760353,0.00026761202784168764,0.0001671129051678018,0.00016251828163851528,3.931287338942637e-06,2.328824569276215e-06,2.6666670224227006e-06,3.818442201622496e-06,2.4330835098505454e-06,2.3967942193559567e-06,292.42857142857144,239.375,92.0,104.5,1500.0,3190.0,2253.0,1.0
15,0.0,0.0,0.004665048180265569,0.004488122447553795,0.07469165151620641,0.048846832180165514,0.046182251390584725,0.04696581523395319,0.03238452825730372,0.02748677129593449,0.00024596113060609923,0.00016293850895147033,0.00014388244734821234,0.0002158336032391719,0.00013286312921412214,0.00013616131804755616,4.193141551563804e-06,2.682607922654697e-06,2.629073775056777e-06,3.797332575185243e-06,2.314826070648356e-06,2.473722824438035e-06,243.75,237.0,87.33333333333333,364.0,1574.0,0.0,0.0,1.0
16,2.0,2.0,0.005667294364839171,0.005696605756580738,0.34753860668583647,0.24606309606309604,0.19236049236049235,0.47382465232171006,0.3301698301698302,0.25860139860139864,0.001187251698418076,0.0008814501157806,0.0006630762588231046,0.002073691024745333,0.00152859777712912,0.0011154339960753672,8.753726578813632e-06,6.294702648311246e-06,4.540155931145313e-06,1.380846411428333e-05,1.083467085629511e-05,6.547741794897858e-06,178.0,273.5,19.666666666666668,25.0,0.0,695.0,477.0,1.0
17,2.0,2.0,0.004446903514754657,0.00457389215721335,0.06861376118664755,0.049149526988862165,0.03727537467149655,0.08332811327061482,0.060051760716212536,0.04625850340136054,0.00033161062716753446,0.00024157370102047523,0.0001792855750226142,0.00028072696907100646,0.00018919089349216634,0.00016102536040791765,5.962532434468298e-06,4.323859485322336e-06,3.3355964977040193e-06,4.81717030305932e-06,3.1272821294569395e-06,3.0035764199398238e-06,222.2,344.0,56.5,274.0,195.0,3579.0,2961.0,1.0
18,2.0,0.0,0.0036661814543007937,0.0028270241136300936,0.10751955386443005,0.07778295515766191,0.05778326636591292,0.10549965368514641,0.0753166353166353,0.05677589677589678,0.0003003879542168639,0.00020703130499566714,0.00016847762512707496,0.00030275680150183295,0.00020835611860252064,0.0001725063717897842,4.709795313277978e-06,3.3110843025754725e-06,2.591147428945908e-06,4.867768541930108e-06,3.238021699768715e-06,2.9156013726717505e-06,246.25,505.0,53.75,174.0,1520.0,1872.0,0.0,1.0
19,0.0,6.0,0.0023696016855341666,0.0022652701167898965,0.12671135047236073,0.09285562419890779,0.06827765932243544,0.12793390113613184,0.08883327260290612,0.07393577917138125,0.0006753604692236425,0.00044024772612767535,0.0004267051690984542,0.000499120579770115,0.0003063659140562836,0.00032698050005257784,1.2569097630360281e-05,7.963920147253818e-06,8.190159175005033e-06,8.968218825380607e-06,5.303787419131913e-06,6.069949617388317e-06,292.6666666666667,401.25,64.0,182.0,224.0,0.0,42.0,1.0
20,0.0,10.0,0.002039417824308077,0.0019348519144513695,0.08069929652063425,0.058345826131394496,0.04335567510083052,0.07392249609368606,0.054031810442360904,0.04094578236493374,0.0002205062771034402,0.00014522278118832922,0.00012863196669946934,0.00021482424515996296,0.00014935570869105836,0.00011727604774983849,3.469595812160837e-06,2.1720633590508246e-06,2.2170340548633055e-06,3.3311045931858816e-06,2.350037639687316e-06,1.8516825394684694e-06,253.625,212.55555555555554,90.0,69.25,355.0,0.0,2249.0,1.0
21,68.0,8.0,0.011266592656614992,0.01165545183180109,0.06906974618272103,0.0438804771052328,0.04372311245275415,0.037838816713975314,0.023779164976987118,0.024301026660373305,0.00020838534160269777,0.00014083965620225353,0.0001173458396514636,0.00015459612789913153,9.486028441571987e-05,9.161138507202279e-05,3.532263254523966e-06,2.5128290835374873e-06,1.980915746838067e-06,2.8019528516241076e-06,1.7520675394720375e-06,1.7195685629852769e-06,262.14285714285717,351.0,127.5,466.0,1629.0,1811.0,4348.0,1.0
22,286.0,82.0,0.003103799989986378,0.002880468678123759,0.021643407388565787,0.013561030307313347,0.013109869822081259,0.023502383381535,0.014738213172898406,0.014392943836116985,0.00015165605783660433,9.844742840215734e-05,8.301569979646739e-05,0.0001736808662801337,0.00011338556434617432,9.830307193424778e-05,2.946865403503312e-06,1.982476497779073e-06,1.6572542469743444e-06,3.2901955265566907e-06,2.2025468787633424e-06,1.909705363689129e-06,365.8333333333333,360.8333333333333,786.0,369.5,4939.0,6820.0,6661.0,1.0
23,2.0,2.0,0.007872961051546114,0.006856843423684791,0.09691610771068879,0.06001273630583975,0.06341364574123196,0.05095348107081759,0.031855744399839216,0.03178059261028077,0.0002756561473822581,0.00018939630087902104,0.00015615041526810915,0.00021295346326838757,0.00013132585706408163,0.00012960446340156952,4.7159842302621245e-06,3.3015453812248723e-06,2.661608569988047e-06,3.7964766044258046e-06,2.3431824766702727e-06,2.382732949868085e-06,236.25,319.1666666666667,49.75,109.0,1474.0,2214.0,3650.0,1.0
24,10.0,34.0,0.005335272962220404,0.00536111136726506,0.07695957281485012,0.04846855272387188,0.04925657478848968,0.0649873497720402,0.040175034992108165,0.04312293397659251,0.00022621395941007437,0.0001271179302314833,0.0001565729074886584,0.00020622712219884944,0.00012125633184533386,0.0001313468303737748,3.944628167235077e-06,2.255597134248816e-06,2.7077196778701604e-06,3.7897814306249e-06,2.1908892810749065e-06,2.5551893816971615e-06,241.75,253.125,74.66666666666667,92.0,1650.0,151.0,1094.0,1.0
25,2.0,2.0,1.2324611975261042e-05,1.209537416386135e-05,0.10752194228070622,0.06794854731501851,0.06822413077687917,0.0847142689411126,0.052601322219028454,0.05409850406788558,0.0003465326129388161,0.00022856196634575275,0.00020648989609730023,0.0002662531902891594,0.00016588907185568138,0.00016035511357885744,7.340801530143368e-06,4.654700584156379e-06,4.624745265343169e-06,5.906354587542471e-06,3.609135635623738e-06,3.766755963519843e-06,308.6666666666667,289.0,118.0,146.5,0.0,2552.0,3189.0,0.0
26,2.0,2.0,1.2874895695509713e-05,1.1952838262204408e-05,0.07895353478955526,0.050175767247161114,0.0502700108698166,0.07957580727901693,0.050837555453201136,0.05071574022447941,0.00027809934014516184,0.00017837909863432696,0.00016564887516560265,0.000271819974981672,0.00016630531312992274,0.00015870382345288116,6.553356989280093e-06,4.387091178323089e-06,3.935788868282639e-06,6.219489299415626e-06,4.0208782762875815e-06,3.7089684947128907e-06,291.2857142857143,282.7142857142857,159.5,98.66666666666667,0.0,3460.0,3289.0,0.0
27,2.0,2.0,0.019010750665200676,0.018311425576369326,0.06176102010067406,0.03891492038700161,0.03936675281852947,0.05833715357716076,0.03706386891572077,0.037174211248285315,0.00018339684166063082,0.00011707152816893417,0.00010672256084157107,0.00015958863450224353,0.00010029055439393652,9.14061970788536e-05,3.3962903093136655e-06,2.251258539242807e-06,2.029550547714704e-06,2.799668509874538e-06,1.8182786447288014e-06,1.6626328425468867e-06,337.42857142857144,327.85714285714283,167.5,172.5,0.0,3914.0,4038.0,0.0
28,2.0,2.0,0.06910399781645815,0.06128358657995598,0.09148392444515263,0.05759406939978743,0.058259189689632826,0.08972149266485757,0.05624426168662461,0.05743587740032428,0.00036264906895898467,0.00020335860103184194,0.0002455209578907061,0.0003325453062276241,0.0002190270849960326,0.00019755600301683612,8.450396614263232e-06,4.67123084637335e-06,5.922795724946402e-06,7.195744398582558e-06,4.891988448414772e-06,4.150175148222619e-06,255.125,282.0,70.75,140.0,0.0,2994.0,3064.0,0.0
29,2.0,2.0,1.1814581493573922e-05,1.1991148339742119e-05,0.14011615832427485,0.0890837410248292,0.089299247260211,0.1250791257844737,0.07828683814599308,0.08077655119908639,0.0004045268676875535,0.00024556958424955136,0.00025770700143698695,0.0003512565520291536,0.00024080591101023556,0.00019748912351003775,8.370948672612532e-06,4.951598848157307e-06,5.628729384966549e-06,7.09427563936807e-06,4.92802095856239e-06,4.056211455540909e-06,233.42857142857142,294.8333333333333,89.5,103.5,0.0,1957.0,2203.0,0.0
30,2.0,2.0,1.2250723838985991e-05,1.1643141369702283e-05,0.10177586820629926,0.06470869828637252,0.06449552332582857,0.11228685014251463,0.07223678203675836,0.06990683597382615,0.00034227179701301315,0.0001936745758084934,0.00022677788977438433,0.0003466258830416583,0.0002079079188152823,0.00021636194413008074,7.251849142582246e-06,4.253417448634803e-06,4.864061441726221e-06,7.2530380072535e-06,4.3621395220376135e-06,4.800566203329711e-06,270.0,253.71428571428572,127.5,109.0,0.0,2670.0,2363.0,0.0
31,2.0,2.0,1.2050304972683527e-05,1.1626770318932551e-05,0.11384784767413612,0.07304903802983188,0.07081330960972446,0.10206414059440494,0.06331191783908081,0.06500858432447969,0.0003621887563604675,0.000234069575062717,0.00021535854968847287,0.00034996878552811216,0.00021447303712826478,0.0002145497526177507,7.615590016583174e-06,5.074476007365217e-06,4.589096398117589e-06,7.4755697650304885e-06,4.685850572149246e-06,4.61896425916239e-06,303.5,261.2857142857143,112.5,120.5,0.0,2413.0,2569.0,0.0
32,4.0,6.0,0.005791441569238369,0.005872535281814476,0.05002845712916272,0.031245537742584543,0.031447105572503124,0.036482153279880844,0.022726147460680315,0.02277987295500753,0.00029857531676451396,0.00019889657706527515,0.00016855915977313736,0.00025795522501486767,0.00016678773188888557,0.00014752706100192148,7.367822360018919e-06,5.045088432919526e-06,4.215710099667757e-06,6.321051542647452e-06,4.182277839529507e-06,3.7497977277431956e-06,275.75,320.42857142857144,172.66666666666666,348.5,0.0,4603.0,556.0,0.0
33,6.0,2.0,0.0032869434954379065,0.0033902934710713386,0.040420553634125445,0.02527753731692481,0.025402999391699033,0.03833224161749009,0.02391851106639839,0.02396088487446418,0.000228887674747809,0.00013897246245922956,0.00013735769144375672,0.00025321101984647097,0.0001557259940765101,0.00015091927670055994,5.798929461121891e-06,3.6048730384006705e-06,3.6678410439786125e-06,6.1573308695106266e-06,3.920609228701577e-06,3.7521967430158357e-06,283.0,325.7142857142857,205.0,345.5,1536.0,6746.0,7325.0,0.0
34,2.0,2.0,0.0016603840950157682,0.0015794840593596421,0.050590819518792594,0.03195062265484801,0.03179545742926025,0.05250571131312775,0.03261550612083717,0.033434250361984996,0.0002699194929668434,0.00016785282043848185,0.00016015208119928744,0.0002982663959860203,0.0001796696426515879,0.00018937327917281147,6.657151148481752e-06,4.2658790899992574e-06,4.0736946108278165e-06,6.840013841422833e-06,4.212110737120717e-06,4.447686753640734e-06,293.75,330.42857142857144,101.33333333333333,239.5,1536.0,5375.0,5320.0,0.0
35,2.0,2.0,0.0015916233956153592,0.0015596097818708161,0.04684219628524853,0.029473551837339823,0.029731017685057714,0.04271929974843224,0.026827733774246687,0.02685113703368246,0.00028169433366363755,0.00017225732224692659,0.00017110271646413332,0.0002600661641901694,0.00015691631650766743,0.000156849333302418,6.8590418463891975e-06,4.389111284771055e-06,4.271414406942878e-06,6.319067939916026e-06,4.004308382114343e-06,3.978174193908322e-06,330.57142857142856,324.57142857142856,275.5,282.0,1536.0,5867.0,6558.0,0.0
36,2.0,2.0,0.001386979841712047,0.0013385125086612345,0.0885104714412431,0.05596472727037465,0.05543343338427963,0.11458278924576694,0.07306004152144285,0.07035690285823999,0.00038548680692358306,0.00024734754348791323,0.00023028285484161124,0.00042585308554725723,0.0002924563594417066,0.0002430830980037285,8.674091058354643e-06,5.619490203582249e-06,5.345990257326347e-06,8.70653687954197e-06,6.130243803657509e-06,4.723137685920993e-06,224.22222222222223,227.125,71.5,73.66666666666667,1536.0,3029.0,2312.0,0.0
37,48.0,176.0,0.0012009295584141304,0.0011941796053290727,0.20049852161554013,0.12499489691773828,0.1260184294170822,0.1755757518598551,0.11112185936129598,0.10948898519321053,0.0006895863058802409,0.0004927925345897137,0.0003864969911789354,0.0005968827687700061,0.00039507604039665625,0.000366466220038357,1.158401717646201e-05,8.418276182977671e-06,6.4780631438371435e-06,1.0099052854244879e-05,7.091472580215932e-06,5.744702671582038e-06,206.83333333333334,276.4,29.333333333333332,74.5,1536.0,572.0,575.0,0.0
38,6.0,10.0,0.0011594514885678352,0.0011572099649693605,0.15001621731782602,0.09505474527966747,0.09535820538455907,0.13638685371941922,0.090063765678649,0.08503758871637787,0.0005539610412449272,0.00037718777987296804,0.00032675476313960414,0.0004746945343027511,0.0003266133305296731,0.0002682938881786721,1.049387181141464e-05,7.4432965773149736e-06,6.011356728901583e-06,9.33219655044019e-06,6.722822393438729e-06,5.020803204049791e-06,189.125,234.57142857142858,14.0,58.333333333333336,1536.0,835.0,363.0,0.0
39,0.0,0.0,0.0011516500520174946,0.001139664347449696,0.10349263830591639,0.0665957577526226,0.06448768949575313,0.10686801330155066,0.06877680425180566,0.06777397452443747,0.0004001581674239118,0.00024077462764514654,0.00025815627396946295,0.00040874622676046043,0.0002486679143326989,0.000255665204205931,8.790467431084206e-06,5.185599067914857e-06,6.049293403762375e-06,8.416609908441972e-06,5.155170278438191e-06,5.546999167994319e-06,277.2857142857143,266.2857142857143,81.33333333333333,117.0,1536.0,0.0,0.0,0.0
